               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/Bishop_mAP,    metrics/King_mAP,    metrics/Pawn_mAP,    metrics/Rook_mAP,  metrics/Knight_mAP,   metrics/Queen_mAP,metrics/Bishop_mAP_50, metrics/King_mAP_50, metrics/Pawn_mAP_50, metrics/Rook_mAP_50,metrics/Knight_mAP_50,metrics/Queen_mAP_50
                  71,            0.044816,            0.071756,              0.0341,             0.84373,             0.38023,             0.66758,              0.4249,            0.037121,            0.033001,            0.035997,             0.00307,             0.00307,             0.00307,             0.59131,             0.54885,             0.65697,             0.52942,             0.18919,            0.033684,             0.83591,             0.97076,               0.995,             0.73591,             0.41624,            0.051679
                  72,            0.043541,            0.099682,            0.034831,             0.84373,             0.38023,             0.66758,              0.4249,            0.037121,            0.033001,            0.035997,            0.002971,            0.002971,            0.002971,             0.59131,             0.54885,             0.65697,             0.52942,             0.18919,            0.033684,             0.83591,             0.97076,               0.995,             0.73591,             0.41624,            0.051679
                  73,            0.042764,            0.084255,            0.035098,             0.79541,             0.47695,              0.6696,             0.47226,             0.03949,            0.032028,            0.035639,            0.002872,            0.002872,            0.002872,             0.55355,             0.62923,             0.71226,             0.58111,             0.21705,             0.14036,               0.745,              0.9753,               0.995,             0.71643,             0.39961,             0.18625
                  74,            0.043064,            0.071333,            0.033195,             0.79541,             0.47695,              0.6696,             0.47226,             0.03949,            0.032028,            0.035639,            0.002773,            0.002773,            0.002773,             0.55355,             0.62923,             0.71226,             0.58111,             0.21705,             0.14036,               0.745,              0.9753,               0.995,             0.71643,             0.39961,             0.18625
                  75,            0.044962,            0.081528,            0.032274,             0.93749,             0.31438,             0.61563,             0.43755,              0.0318,            0.031749,            0.035266,            0.002674,            0.002674,            0.002674,             0.52173,             0.67776,             0.75451,             0.28778,              0.1909,             0.19264,             0.68548,             0.96316,               0.995,             0.35973,             0.44875,             0.24168
                  76,            0.045435,            0.088502,            0.034002,             0.93749,             0.31438,             0.61563,             0.43755,              0.0318,            0.031749,            0.035266,            0.002575,            0.002575,            0.002575,             0.52173,             0.67776,             0.75451,             0.28778,              0.1909,             0.19264,             0.68548,             0.96316,               0.995,             0.35973,             0.44875,             0.24168
                  77,            0.036302,            0.062979,              0.0337,             0.79971,                 0.5,             0.62122,             0.44144,            0.034052,            0.031519,            0.035022,            0.002476,            0.002476,            0.002476,             0.56088,             0.64902,              0.7656,             0.16797,             0.22051,             0.28465,             0.72833,             0.96798,               0.995,             0.20997,             0.43514,             0.39091
                  78,            0.040686,            0.080667,            0.033193,             0.79971,                 0.5,             0.62122,             0.44144,            0.034052,            0.031519,            0.035022,            0.002377,            0.002377,            0.002377,             0.56088,             0.64902,              0.7656,             0.16797,             0.22051,             0.28465,             0.72833,             0.96798,               0.995,             0.20997,             0.43514,             0.39091
                  79,            0.042407,            0.073552,            0.032639,             0.98591,             0.34681,             0.60819,             0.43695,             0.02952,              0.0304,            0.034862,            0.002278,            0.002278,            0.002278,             0.58211,             0.66095,             0.75215,             0.14391,             0.32582,             0.15674,             0.82833,             0.97067,               0.995,             0.17195,             0.44872,             0.23447
                  80,            0.038739,            0.059842,             0.03437,             0.98591,             0.34681,             0.60819,             0.43695,             0.02952,              0.0304,            0.034862,            0.002179,            0.002179,            0.002179,             0.58211,             0.66095,             0.75215,             0.14391,             0.32582,             0.15674,             0.82833,             0.97067,               0.995,             0.17195,             0.44872,             0.23447
                  81,            0.037633,            0.062241,            0.031614,             0.76467,             0.47932,             0.58501,             0.39798,            0.032945,            0.030362,            0.034678,             0.00208,             0.00208,             0.00208,             0.56765,             0.68061,              0.6096,             0.11404,             0.22018,             0.19579,             0.71167,             0.96579,              0.9946,             0.15194,             0.44274,             0.24331
                  82,            0.039374,            0.085046,            0.031067,             0.76467,             0.47932,             0.58501,             0.39798,            0.032945,            0.030362,            0.034678,            0.001981,            0.001981,            0.001981,             0.56765,             0.68061,              0.6096,             0.11404,             0.22018,             0.19579,             0.71167,             0.96579,              0.9946,             0.15194,             0.44274,             0.24331
                  83,            0.037165,            0.080823,            0.035323,             0.81582,             0.46132,             0.54505,             0.40365,             0.02707,            0.028751,            0.034608,            0.001882,            0.001882,            0.001882,             0.53827,             0.69154,             0.72887,             0.10478,             0.28352,            0.074899,             0.66881,             0.97761,               0.995,             0.12774,             0.39233,             0.10884
                  84,            0.034135,            0.066127,            0.035301,             0.81582,             0.46132,             0.54505,             0.40365,             0.02707,            0.028751,            0.034608,            0.001783,            0.001783,            0.001783,             0.53827,             0.69154,             0.72887,             0.10478,             0.28352,            0.074899,             0.66881,             0.97761,               0.995,             0.12774,             0.39233,             0.10884
